fid0725,regionname,const230_h,round,respno,urb,r4,central,male,eth_akan,eth_ewe,eth_ga,eth_dagomba,eth_other,vote_npp_pres,vote_ndc_pres,economy_oneyear,poverty,unfair,trustown,trustother,gov_sentus,responsself,akan_5km_l_p,ewe_5km_l_p,akan_30km_l_p,ewe_30km_l_p,dev_factor2,h_30rad_e,popdens5x5
2191,NORTHERN,YAPEI/KUSAWGU,ROUND3,GHA0051,0,0,0,0,0,0,0,0,1,0,0,2,1.068272,1,1,1,0,0,0.1053578,0.3084746,0.0764531,0.0081966,-1.076392,0.2479386,30.08204
7851,WESTERN,MPOHOR WASSA,ROUND4,GHA0051,0,1,0,1,0,1,0,0,0,1,0,2,1.234135,1,,,1,,0.7070301,0.1423218,0.6168879,0.1778566,-1.11341,0.0587742,80.03378
2191,NORTHERN,YAPEI/KUSAWGU,ROUND3,GHA0052,0,0,0,0,0,0,0,0,1,0,1,4,1.068272,0,1,1,1,0,0.1053578,0.3084746,0.0764531,0.0081966,-1.076392,0.2479386,30.08204
7851,WESTERN,MPOHOR WASSA,ROUND4,GHA0052,0,1,0,0,0,0,0,0,1,1,0,3,-0.5256245,1,,,1,,0.7070301,0.1423218,0.6168879,0.1778566,-1.11341,0.0587742,80.03378
2191,NORTHERN,YAPEI/KUSAWGU,ROUND3,GHA0053,0,0,0,1,0,0,0,0,1,0,0,3,-0.7241102,0,1,1,1,,0.1053578,0.3084746,0.0764531,0.0081966,-1.076392,0.2479386,30.08204
7851,WESTERN,MPOHOR WASSA,ROUND4,GHA0053,0,1,0,1,1,0,0,0,0,0,0,2,0.0900797,1,,,1,,0.7070301,0.1423218,0.6168879,0.1778566,-1.11341,0.0587742,80.03378
2191,NORTHERN,YAPEI/KUSAWGU,ROUND3,GHA0054,0,0,0,1,0,0,0,0,1,0,1,4,-0.1378025,0,0,1,1,0,0.1053578,0.3084746,0.0764531,0.0081966,-1.076392,0.2479386,30.08204
7851,WESTERN,MPOHOR WASSA,ROUND4,GHA0054,0,1,0,0,0,1,0,0,0,0,1,1,0.0048611,1,,,1,,0.7070301,0.1423218,0.6168879,0.1778566,-1.11341,0.0587742,80.03378
2191,NORTHERN,YAPEI/KUSAWGU,ROUND3,GHA0055,0,0,0,1,0,0,0,0,1,1,0,2,1.068272,0,1,1,1,0,0.1053578,0.3084746,0.0764531,0.0081966,-1.076392,0.2479386,30.08204
7851,WESTERN,MPOHOR WASSA,ROUND4,GHA0055,0,1,0,1,1,0,0,0,0,1,0,4,0.0048611,1,,,1,,0.7070301,0.1423218,0.6168879,0.1778566,-1.11341,0.0587742,80.03378
2265,NORTHERN,KUMBUNGU,ROUND3,GHA0056,0,0,0,0,0,0,0,1,0,0,1,2,-0.1378025,1,1,0,0,0,0.0415206,0.2271033,0.0702284,0.01128,0.6017143,0.0305992,74.48213
7851,WESTERN,MPOHOR WASSA,ROUND4,GHA0056,0,1,0,0,0,0,0,0,1,0,1,2,-0.5919405,0,,,1,,0.7070301,0.1423218,0.6168879,0.1778566,-1.11341,0.0587742,80.03378
2265,NORTHERN,KUMBUNGU,ROUND3,GHA0057,0,0,0,0,0,0,0,1,0,1,0,3,1.684909,0,1,1,0,0,0.0415206,0.2271033,0.0702284,0.01128,0.6017143,0.0305992,74.48213
12379,WESTERN,AMENFI WEST,ROUND4,GHA0057,0,1,0,1,0,0,0,0,1,0,1,1,-0.5256245,0,,,1,,0.5490386,0.1661981,0.6865364,0.1090631,-1.11385,0.0352863,46.14347
2265,NORTHERN,KUMBUNGU,ROUND3,GHA0058,0,0,0,0,0,0,0,1,0,1,0,2,1.09169,1,1,0,1,0,0.0415206,0.2271033,0.0702284,0.01128,0.6017143,0.0305992,74.48213
12379,WESTERN,AMENFI WEST,ROUND4,GHA0058,0,1,0,0,0,0,0,0,1,1,0,2,-1.122426,1,,,1,,0.5490386,0.1661981,0.6865364,0.1090631,-1.11385,0.0352863,46.14347
2265,NORTHERN,KUMBUNGU,ROUND3,GHA0059,0,0,0,1,0,0,0,1,0,0,1,4,-0.1308907,1,1,1,0,1,0.0415206,0.2271033,0.0702284,0.01128,0.6017143,0.0305992,74.48213
12379,WESTERN,AMENFI WEST,ROUND4,GHA0059,0,1,0,1,0,0,1,0,0,0,0,3,0.0048611,1,,,0,,0.5490386,0.1661981,0.6865364,0.1090631,-1.11385,0.0352863,46.14347
2265,NORTHERN,KUMBUNGU,ROUND3,GHA0060,0,0,0,1,0,0,0,1,0,0,1,2,1.684909,1,1,1,1,0,0.0415206,0.2271033,0.0702284,0.01128,0.6017143,0.0305992,74.48213
12379,WESTERN,AMENFI WEST,ROUND4,GHA0060,0,1,0,0,0,0,0,0,1,1,0,3,0.0048611,1,,,0,,0.5490386,0.1661981,0.6865364,0.1090631,-1.11385,0.0352863,46.14347
2265,NORTHERN,KUMBUNGU,ROUND3,GHA0061,0,0,0,1,0,0,0,1,0,0,0,2,1.09169,1,1,1,0,0,0.0415206,0.2271033,0.0702284,0.01128,0.6017143,0.0305992,74.48213
12379,WESTERN,AMENFI WEST,ROUND4,GHA0061,0,1,0,1,1,0,0,0,0,1,0,4,0.0237637,1,,,1,,0.5490386,0.1661981,0.6865364,0.1090631,-1.11385,0.0352863,46.14347
2265,NORTHERN,KUMBUNGU,ROUND3,GHA0062,0,0,0,1,0,0,0,1,0,1,0,3,-0.1378025,1,0,0,1,0,0.0415206,0.2271033,0.0702284,0.01128,0.6017143,0.0305992,74.48213
12379,WESTERN,AMENFI WEST,ROUND4,GHA0062,0,1,0,0,0,0,0,0,1,1,0,3,0.0900797,1,,,1,,0.5490386,0.1661981,0.6865364,0.1090631,-1.11385,0.0352863,46.14347
2265,NORTHERN,KUMBUNGU,ROUND3,GHA0063,0,0,0,0,0,0,0,1,0,0,0,3,1.098601,1,1,1,0,1,0.0415206,0.2271033,0.0702284,0.01128,0.6017143,0.0305992,74.48213
12379,WESTERN,AMENFI WEST,ROUND4,GHA0063,0,1,0,1,1,0,0,0,0,1,0,4,-0.5919405,0,,,1,,0.5490386,0.1661981,0.6865364,0.1090631,-1.11385,0.0352863,46.14347
12379,WESTERN,AMENFI WEST,ROUND4,GHA0064,0,1,0,0,0,0,1,0,0,0,0,2,0.6205653,1,,,1,,0.5490386,0.1661981,0.6865364,0.1090631,-1.11385,0.0352863,46.14347
2133,NORTHERN,BIMBILLA,ROUND3,GHA0064,0,0,0,1,0,0,0,0,1,1,0,2,0.4819643,0,0,0,1,0,0.1659663,0.0114619,0.0497454,0.0031344,-1.128506,0.1999961,36.31371
